bucket_label,candidate_playbook,candidate_rejection_reasons,city,condition_id,covered,event_slug,match_condition_side,match_playbook,match_reason,outcome,price,public_playbook,side,size,timestamp_utc,trade_type
23°C,,[],Mexico City,0x9815d8a0a736bd3f2bd05e1d0c0b7fd7872aedaa1ef65754f080af06c14455dd,True,highest-temperature-in-mexico-city-on-april-1-2026,False,False,missing_quote_pair,no,0.8800000872727431,paired_under_par,buy,9.166665,2026-03-28T14:40:07+00:00,buy
23°C,,[],Mexico City,0x9815d8a0a736bd3f2bd05e1d0c0b7fd7872aedaa1ef65754f080af06c14455dd,True,highest-temperature-in-mexico-city-on-april-1-2026,False,False,missing_quote_pair,yes,0.11000004854549603,paired_under_par,buy,1.235954,2026-03-28T14:40:07+00:00,buy
23°C,,[],Mexico City,0x9815d8a0a736bd3f2bd05e1d0c0b7fd7872aedaa1ef65754f080af06c14455dd,True,highest-temperature-in-mexico-city-on-april-1-2026,False,False,missing_quote_pair,yes,0.11000000510321507,paired_under_par,buy,9.797745,2026-03-28T14:40:07+00:00,buy
23°C,,[],Mexico City,0x9815d8a0a736bd3f2bd05e1d0c0b7fd7872aedaa1ef65754f080af06c14455dd,True,highest-temperature-in-mexico-city-on-april-1-2026,False,False,missing_quote_pair,yes,0.11000001633028991,paired_under_par,buy,4.898872,2026-03-28T14:40:07+00:00,buy
23°C,,[],Mexico City,0x9815d8a0a736bd3f2bd05e1d0c0b7fd7872aedaa1ef65754f080af06c14455dd,True,highest-temperature-in-mexico-city-on-april-1-2026,False,False,missing_quote_pair,yes,0.11000004854549603,paired_under_par,buy,1.235954,2026-03-28T14:40:09+00:00,buy
23°C,,[],Mexico City,0x9815d8a0a736bd3f2bd05e1d0c0b7fd7872aedaa1ef65754f080af06c14455dd,True,highest-temperature-in-mexico-city-on-april-1-2026,False,False,missing_quote_pair,yes,0.11000000883375448,paired_under_par,buy,9.056172,2026-03-28T14:40:09+00:00,buy
23°C,,[],Mexico City,0x9815d8a0a736bd3f2bd05e1d0c0b7fd7872aedaa1ef65754f080af06c14455dd,True,highest-temperature-in-mexico-city-on-april-1-2026,False,False,missing_quote_pair,yes,0.11000000735538035,paired_under_par,buy,6.797745,2026-03-28T14:40:09+00:00,buy
23°C,,[],Mexico City,0x9815d8a0a736bd3f2bd05e1d0c0b7fd7872aedaa1ef65754f080af06c14455dd,True,highest-temperature-in-mexico-city-on-april-1-2026,False,False,missing_quote_pair,yes,0.11000001589297038,paired_under_par,buy,1.258418,2026-03-28T14:40:11+00:00,buy
23°C,,[],Mexico City,0x9815d8a0a736bd3f2bd05e1d0c0b7fd7872aedaa1ef65754f080af06c14455dd,True,highest-temperature-in-mexico-city-on-april-1-2026,False,False,missing_quote_pair,yes,0.11000001262412673,paired_under_par,buy,6.337072,2026-03-28T14:40:11+00:00,buy
23°C,,[],Mexico City,0x9815d8a0a736bd3f2bd05e1d0c0b7fd7872aedaa1ef65754f080af06c14455dd,True,highest-temperature-in-mexico-city-on-april-1-2026,False,False,missing_quote_pair,yes,0.11000001589297038,paired_under_par,buy,1.258418,2026-03-28T14:40:11+00:00,buy
23°C,,[],Mexico City,0x9815d8a0a736bd3f2bd05e1d0c0b7fd7872aedaa1ef65754f080af06c14455dd,True,highest-temperature-in-mexico-city-on-april-1-2026,False,False,missing_quote_pair,no,0.8800000654545522,paired_under_par,buy,12.833332,2026-03-28T14:40:11+00:00,buy
23°C,,[],Mexico City,0x9815d8a0a736bd3f2bd05e1d0c0b7fd7872aedaa1ef65754f080af06c14455dd,True,highest-temperature-in-mexico-city-on-april-1-2026,False,False,missing_quote_pair,yes,0.11000004854549603,paired_under_par,buy,1.235954,2026-03-28T14:40:11+00:00,buy
23°C,,[],Mexico City,0x9815d8a0a736bd3f2bd05e1d0c0b7fd7872aedaa1ef65754f080af06c14455dd,True,highest-temperature-in-mexico-city-on-april-1-2026,False,False,missing_quote_pair,yes,0.11000002643574748,paired_under_par,buy,1.134827,2026-03-28T14:40:11+00:00,buy
23°C,,[],Mexico City,0x9815d8a0a736bd3f2bd05e1d0c0b7fd7872aedaa1ef65754f080af06c14455dd,True,highest-temperature-in-mexico-city-on-april-1-2026,False,False,missing_quote_pair,yes,0.1100000053400005,paired_under_par,buy,11.235954,2026-03-28T14:40:11+00:00,buy
23°C,,[],Mexico City,0x9815d8a0a736bd3f2bd05e1d0c0b7fd7872aedaa1ef65754f080af06c14455dd,True,highest-temperature-in-mexico-city-on-april-1-2026,False,False,missing_quote_pair,yes,0.11000001592131052,paired_under_par,buy,6.28089,2026-03-28T14:40:11+00:00,buy
23°C,,[],Mexico City,0x9815d8a0a736bd3f2bd05e1d0c0b7fd7872aedaa1ef65754f080af06c14455dd,True,highest-temperature-in-mexico-city-on-april-1-2026,False,False,missing_quote_pair,yes,0.11000001589297038,paired_under_par,buy,1.258418,2026-03-28T14:40:13+00:00,buy
23°C,,[],Mexico City,0x9815d8a0a736bd3f2bd05e1d0c0b7fd7872aedaa1ef65754f080af06c14455dd,True,highest-temperature-in-mexico-city-on-april-1-2026,False,False,missing_quote_pair,yes,0.11000001589297038,paired_under_par,buy,1.258418,2026-03-28T14:40:13+00:00,buy
23°C,,[],Mexico City,0x9815d8a0a736bd3f2bd05e1d0c0b7fd7872aedaa1ef65754f080af06c14455dd,True,highest-temperature-in-mexico-city-on-april-1-2026,False,False,missing_quote_pair,yes,0.11000004656984623,paired_under_par,buy,1.932581,2026-03-28T14:40:13+00:00,buy
23°C,,[],Mexico City,0x9815d8a0a736bd3f2bd05e1d0c0b7fd7872aedaa1ef65754f080af06c14455dd,True,highest-temperature-in-mexico-city-on-april-1-2026,False,False,missing_quote_pair,yes,0.11000001589297038,paired_under_par,buy,1.258418,2026-03-28T14:40:13+00:00,buy
23°C,,[],Mexico City,0x9815d8a0a736bd3f2bd05e1d0c0b7fd7872aedaa1ef65754f080af06c14455dd,True,highest-temperature-in-mexico-city-on-april-1-2026,False,False,missing_quote_pair,yes,0.11000000559750889,paired_under_par,buy,1.786509,2026-03-28T14:40:15+00:00,buy
23°C,,[],Mexico City,0x9815d8a0a736bd3f2bd05e1d0c0b7fd7872aedaa1ef65754f080af06c14455dd,True,highest-temperature-in-mexico-city-on-april-1-2026,False,False,missing_quote_pair,yes,0.11,paired_under_par,buy,5.0,2026-03-28T14:40:23+00:00,buy
23°C,,[],Mexico City,0x9815d8a0a736bd3f2bd05e1d0c0b7fd7872aedaa1ef65754f080af06c14455dd,True,highest-temperature-in-mexico-city-on-april-1-2026,False,False,missing_quote_pair,no,0.88,paired_under_par,buy,1.09,2026-03-28T14:40:27+00:00,buy
23°C,,[],Mexico City,0x9815d8a0a736bd3f2bd05e1d0c0b7fd7872aedaa1ef65754f080af06c14455dd,True,highest-temperature-in-mexico-city-on-april-1-2026,False,False,missing_quote_pair,no,0.88,paired_under_par,buy,1.09,2026-03-28T14:40:27+00:00,buy
23°C,,[],Mexico City,0x9815d8a0a736bd3f2bd05e1d0c0b7fd7872aedaa1ef65754f080af06c14455dd,True,highest-temperature-in-mexico-city-on-april-1-2026,False,False,missing_quote_pair,yes,0.11,paired_under_par,buy,8.0,2026-03-28T14:40:27+00:00,buy
23°C,,[],Mexico City,0x9815d8a0a736bd3f2bd05e1d0c0b7fd7872aedaa1ef65754f080af06c14455dd,True,highest-temperature-in-mexico-city-on-april-1-2026,False,False,missing_quote_pair,yes,0.11000004854549603,paired_under_par,buy,1.235954,2026-03-28T14:40:29+00:00,buy
23°C,,[],Mexico City,0x9815d8a0a736bd3f2bd05e1d0c0b7fd7872aedaa1ef65754f080af06c14455dd,True,highest-temperature-in-mexico-city-on-april-1-2026,False,False,missing_quote_pair,yes,0.11000004854549603,paired_under_par,buy,1.235954,2026-03-28T14:40:29+00:00,buy
23°C,,[],Mexico City,0x9815d8a0a736bd3f2bd05e1d0c0b7fd7872aedaa1ef65754f080af06c14455dd,True,highest-temperature-in-mexico-city-on-april-1-2026,False,False,missing_quote_pair,yes,0.11000004854549603,paired_under_par,buy,1.235954,2026-03-28T14:40:29+00:00,buy
23°C,,[],Mexico City,0x9815d8a0a736bd3f2bd05e1d0c0b7fd7872aedaa1ef65754f080af06c14455dd,True,highest-temperature-in-mexico-city-on-april-1-2026,False,False,missing_quote_pair,yes,0.11000004854549603,paired_under_par,buy,1.235954,2026-03-28T14:40:29+00:00,buy
23°C,,[],Mexico City,0x9815d8a0a736bd3f2bd05e1d0c0b7fd7872aedaa1ef65754f080af06c14455dd,True,highest-temperature-in-mexico-city-on-april-1-2026,False,False,missing_quote_pair,yes,0.11000001202705124,paired_under_par,buy,3.325836,2026-03-28T14:40:29+00:00,buy
23°C,,[],Mexico City,0x9815d8a0a736bd3f2bd05e1d0c0b7fd7872aedaa1ef65754f080af06c14455dd,True,highest-temperature-in-mexico-city-on-april-1-2026,False,False,missing_quote_pair,yes,0.11000004854549603,paired_under_par,buy,1.235954,2026-03-28T14:40:29+00:00,buy
23°C,,[],Mexico City,0x9815d8a0a736bd3f2bd05e1d0c0b7fd7872aedaa1ef65754f080af06c14455dd,True,highest-temperature-in-mexico-city-on-april-1-2026,False,False,missing_quote_pair,no,0.88,paired_under_par,buy,3.37,2026-03-28T14:40:29+00:00,buy
23°C,,[],Mexico City,0x9815d8a0a736bd3f2bd05e1d0c0b7fd7872aedaa1ef65754f080af06c14455dd,True,highest-temperature-in-mexico-city-on-april-1-2026,False,False,missing_quote_pair,no,0.88,paired_under_par,buy,1.12,2026-03-28T14:40:29+00:00,buy
23°C,,[],Mexico City,0x9815d8a0a736bd3f2bd05e1d0c0b7fd7872aedaa1ef65754f080af06c14455dd,True,highest-temperature-in-mexico-city-on-april-1-2026,False,False,missing_quote_pair,yes,0.11000004854549603,paired_under_par,buy,1.235954,2026-03-28T14:40:29+00:00,buy
23°C,,[],Mexico City,0x9815d8a0a736bd3f2bd05e1d0c0b7fd7872aedaa1ef65754f080af06c14455dd,True,highest-temperature-in-mexico-city-on-april-1-2026,False,False,missing_quote_pair,yes,0.11000004854549603,paired_under_par,buy,1.235954,2026-03-28T14:40:29+00:00,buy
23°C,,[],Mexico City,0x9815d8a0a736bd3f2bd05e1d0c0b7fd7872aedaa1ef65754f080af06c14455dd,True,highest-temperature-in-mexico-city-on-april-1-2026,False,False,missing_quote_pair,yes,0.11000004854549603,paired_under_par,buy,1.235954,2026-03-28T14:40:29+00:00,buy
23°C,,[],Mexico City,0x9815d8a0a736bd3f2bd05e1d0c0b7fd7872aedaa1ef65754f080af06c14455dd,True,highest-temperature-in-mexico-city-on-april-1-2026,False,False,missing_quote_pair,no,0.88,paired_under_par,buy,1.09,2026-03-28T14:40:29+00:00,buy
23°C,,[],Mexico City,0x9815d8a0a736bd3f2bd05e1d0c0b7fd7872aedaa1ef65754f080af06c14455dd,True,highest-temperature-in-mexico-city-on-april-1-2026,False,False,missing_quote_pair,no,0.88,paired_under_par,buy,1.09,2026-03-28T14:40:29+00:00,buy
23°C,,[],Mexico City,0x9815d8a0a736bd3f2bd05e1d0c0b7fd7872aedaa1ef65754f080af06c14455dd,True,highest-temperature-in-mexico-city-on-april-1-2026,False,False,missing_quote_pair,yes,0.11000004854549603,paired_under_par,buy,1.235954,2026-03-28T14:40:29+00:00,buy
23°C,,[],Mexico City,0x9815d8a0a736bd3f2bd05e1d0c0b7fd7872aedaa1ef65754f080af06c14455dd,True,highest-temperature-in-mexico-city-on-april-1-2026,False,False,missing_quote_pair,yes,0.11000002643574748,paired_under_par,buy,1.134827,2026-03-28T14:40:31+00:00,buy
23°C,,[],Mexico City,0x9815d8a0a736bd3f2bd05e1d0c0b7fd7872aedaa1ef65754f080af06c14455dd,True,highest-temperature-in-mexico-city-on-april-1-2026,False,False,missing_quote_pair,yes,0.11000003039034664,paired_under_par,buy,2.303363,2026-03-28T14:40:33+00:00,buy
23°C,,[],Mexico City,0x9815d8a0a736bd3f2bd05e1d0c0b7fd7872aedaa1ef65754f080af06c14455dd,True,highest-temperature-in-mexico-city-on-april-1-2026,False,False,missing_quote_pair,yes,0.11,paired_under_par,buy,22.47,2026-03-28T14:40:43+00:00,buy
23°C,,[],Mexico City,0x9815d8a0a736bd3f2bd05e1d0c0b7fd7872aedaa1ef65754f080af06c14455dd,True,highest-temperature-in-mexico-city-on-april-1-2026,False,False,missing_quote_pair,no,0.88,paired_under_par,buy,5.44,2026-03-28T14:40:49+00:00,buy
23°C,,[],Mexico City,0x9815d8a0a736bd3f2bd05e1d0c0b7fd7872aedaa1ef65754f080af06c14455dd,True,highest-temperature-in-mexico-city-on-april-1-2026,False,False,missing_quote_pair,no,0.88,paired_under_par,buy,2.16,2026-03-28T14:40:49+00:00,buy
23°C,,[],Mexico City,0x9815d8a0a736bd3f2bd05e1d0c0b7fd7872aedaa1ef65754f080af06c14455dd,True,highest-temperature-in-mexico-city-on-april-1-2026,False,False,missing_quote_pair,yes,0.11000001768214228,paired_under_par,buy,3.393254,2026-03-28T14:40:49+00:00,buy
23°C,,[],Mexico City,0x9815d8a0a736bd3f2bd05e1d0c0b7fd7872aedaa1ef65754f080af06c14455dd,True,highest-temperature-in-mexico-city-on-april-1-2026,False,False,missing_quote_pair,yes,0.11000001768214228,paired_under_par,buy,1.696627,2026-03-28T14:40:49+00:00,buy
23°C,,[],Mexico City,0x9815d8a0a736bd3f2bd05e1d0c0b7fd7872aedaa1ef65754f080af06c14455dd,True,highest-temperature-in-mexico-city-on-april-1-2026,False,False,missing_quote_pair,yes,0.11000004854549603,paired_under_par,buy,1.235954,2026-03-28T14:40:49+00:00,buy
23°C,,[],Mexico City,0x9815d8a0a736bd3f2bd05e1d0c0b7fd7872aedaa1ef65754f080af06c14455dd,True,highest-temperature-in-mexico-city-on-april-1-2026,False,False,missing_quote_pair,yes,0.1100000372385389,paired_under_par,buy,2.68539,2026-03-28T14:40:49+00:00,buy
23°C,,[],Mexico City,0x9815d8a0a736bd3f2bd05e1d0c0b7fd7872aedaa1ef65754f080af06c14455dd,True,highest-temperature-in-mexico-city-on-april-1-2026,False,False,missing_quote_pair,no,0.88,paired_under_par,buy,3.44,2026-03-28T14:40:49+00:00,buy
